Product Number,Product Name (optional),Customer,01-08-17,01-09-17,01-10-17,01-11-17,01-12-17,01-01-18,01-02-18,01-03-18,01-04-18,01-05-18,01-06-18,01-07-18,01-08-18,01-09-18,01-10-18,01-11-18,01-12-18,01-01-19,01-02-19,01-03-19,01-04-19,01-05-19,01-06-19,01-07-19,01-08-19,01-09-19,01-10-19,01-11-19
AMG,Aloe Max Relief Gel 150gm,Tourism,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120
AVCC,Aloe Vera Cleansing Lotion 150ml,Tourism,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
AVEG,Aloe Vera Eye Gel 25gm,Tourism,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
FAJ10200,Liver Zone 90s,Tourism,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
FAN11200,Samples - Colostrum Milk Chews Strawberry Tablets 150s,Tourism,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
AVMC,Aloe Vera Medi Cream 100gm,Tourism,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
FAY10400,EPO Evening Primrose Oil 1000mg V Caps 300s,#@$$^$#$,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680
FAY10600,EPO Evening Primrose Oil 1000mg V Capsules 500s,#@$$^$#$,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAN10300,Colostrum Tabs S/Berry 42mg Ca 150s KR,#@$$^$#$,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
FAN10500,Colostrum Chews S/Berry 70s (Middle East),#@$$^$#$,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
FBB10600,Health 2000 Flaxomega Twin Pack,#@$$^$#$,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
AMM,Aloe Max Daily Hydrating Moisturiser 150gm,#@$$^$#$,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860
AVCC/HK,Aloe Vera Cleansing Lotion 150ml (Hong Kong),#@$$^$#$,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150
AVJ,,#@$$^$#$,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
AVT/HK,Aloe Vera Skin Toner 150ml (Hong Kong),#@$$^$#$,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
FBZ10100,Mens Multi-Plus 30s,#@$$^$#$,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110,6110
AMG,Aloe Max Relief Gel 150gm,#@$$^$#$,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210,1210
AVCC,Aloe Vera Cleansing Lotion 150ml,#@$$^$#$,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
AVEG,Aloe Vera Eye Gel 25gm,#@$$^$#$,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880,880
FAJ10200,Liver Zone 90s,#@$$^$#$,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
FAN11200,Samples - Colostrum Milk Chews Strawberry Tablets 150s,#@$$^$#$,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
AVMC,Aloe Vera Medi Cream 100gm,#@$$^$#$,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
FAY10400,EPO Evening Primrose Oil 1000mg V Caps 300s,Customer number 18,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070
FAY10600,EPO Evening Primrose Oil 1000mg V Capsules 500s,Customer number 18,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAN10300,Colostrum Tabs S/Berry 42mg Ca 150s KR,Customer number 18,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
FAN10500,Colostrum Chews S/Berry 70s (Middle East),Customer number 18,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040
FBB10600,Health 2000 Flaxomega Twin Pack,Customer number 18,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVCC/HK,Aloe Vera Cleansing Lotion 150ml (Hong Kong),Customer number 18,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
AVJ,ALOE VERA JUICE 1LTR B:,Customer number 18,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
AVT/HK,Aloe Vera Skin Toner 150ml (Hong Kong),Customer number 18,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBZ10100,Mens Multi-Plus 30s,Customer number 18,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720,8720
AMG,Aloe Max Relief Gel 150gm,Customer number 18,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
AVCC,Aloe Vera Cleansing Lotion 150ml,Customer number 18,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
AVEG,Aloe Vera Eye Gel 25gm,Customer number 18,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830
FAJ10200,Liver Zone 90s,Customer number 18,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370
FAN11200,Samples - Colostrum Milk Chews Strawberry Tablets 150s,Customer number 18,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
AVMC,Aloe Vera Medi Cream 100gm,Customer number 18,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
FAY10400,EPO Evening Primrose Oil 1000mg V Caps 300s,#@$$^$#$%^%,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
FAY10600,EPO Evening Primrose Oil 1000mg V Capsules 500s,#@$$^$#$%^%,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190,2190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAN10300,Colostrum Tabs S/Berry 42mg Ca 150s KR,#@$$^$#$%^%,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
FAN10500,Colostrum Chews S/Berry 70s (Middle East),#@$$^$#$%^%,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670
FBB10600,Health 2000 Flaxomega Twin Pack,#@$$^$#$%^%,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
AMM,Aloe Max Daily Hydrating Moisturiser 150gm,#@$$^$#$%^%,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690
AVCC/HK,Aloe Vera Cleansing Lotion 150ml (Hong Kong),#@$$^$#$%^%,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
AVJ,ALOE VERA JUICE 1LTR B:,#@$$^$#$%^%,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
AVT/HK,Aloe Vera Skin Toner 150ml (Hong Kong),#@$$^$#$%^%,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530
FBZ10100,Mens Multi-Plus 30s,#@$$^$#$%^%,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480,8480
AMG,Aloe Max Relief Gel 150gm,#@$$^$#$%^%,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
AVCC,Aloe Vera Cleansing Lotion 150ml,#@$$^$#$%^%,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
AVEG,Aloe Vera Eye Gel 25gm,#@$$^$#$%^%,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
FAJ10200,Liver Zone 90s,#@$$^$#$%^%,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520
FAN11200,Samples - Colostrum Milk Chews Strawberry Tablets 150s,#@$$^$#$%^%,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
AVMC,Aloe Vera Medi Cream 100gm,#@$$^$#$%^%,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
